food_id,name,aliases,category,serving_size,serving_unit,calories_kcal,protein_g,fat_g,carbohydrates_g,fiber_g,iron_mg,calcium_mg,vitaminC_mg,vitaminA_ug,potassium_mg,sodium_mg,source
aloo_gobi,Aloo Gobi,potato cauliflower,vegetable,1,serving,140,4.0,5.0,22.0,5.0,1.5,45,30,300,450,350,IFCT 2017; recipe estimate
aloo_matar,Aloo Matar,potato peas,vegetable,1,serving,150,4.0,5.0,23.0,5.0,1.5,40,25,250,450,350,IFCT 2017; recipe estimate
aloo_onion_paratha,Aloo Onion Paratha,aloo paratha|potato paratha,breakfast,1,piece,220,5.0,8.0,32.0,3.0,1.8,70,4,35,180,320,IFCT 2017; recipe estimate
aloo_soyabean,Aloo Soyabean,soybean potato curry,pulse,1,serving,200,12.0,8.0,20.0,5.0,3.0,80,10,200,500,400,IFCT 2017; recipe estimate
aloo_tamatar_sabji,Aloo Tamatar Sabji,potato tomato curry,vegetable,1,serving,140,3.0,5.0,22.0,4.0,1.2,30,20,250,450,350,IFCT 2017; recipe estimate
aloo_zeera,Aloo Zeera,jeera aloo|cumin potato,vegetable,1,serving,150,3.0,5.0,24.0,3.0,1.2,25,15,200,450,350,IFCT 2017; recipe estimate
arher_dal,Arhar Dal,toor dal|pigeon pea dal,pulse,1,serving,170,9.0,4.0,24.0,6.0,2.5,45,5,30,300,350,IFCT 2017; recipe estimate
balushahi,Balushahi,badusha,dessert,1,piece,180,2.0,10.0,22.0,1.0,0.5,20,0,10,50,40,Recipe-level estimate
banana,Banana,kela,fruit,1,piece,105,1.3,0.4,27.0,3.1,0.3,6,10,80,420,1,IFCT 2017
bhature,Bhature,bhatura,cereal,1,piece,250,5.0,12.0,32.0,2.0,1.5,20,0,0,100,300,Recipe-level estimate
bundi_raita,Boondi Raita,boondi raita,dairy,1,bowl,130,4.0,7.0,12.0,1.0,0.5,100,2,30,170,250,IFCT 2017; recipe estimate
bournvita,Bournvita,malt drink,beverage,1,serving,80,1.5,1.0,16.0,0.5,1.0,80,0,0,100,50,Product-label-style estimate; verify label
bread,Bread,bread slice|white bread,cereal,1,slice,70,2.5,1.0,13.0,0.5,0.7,30,0,0,30,130,IFCT 2017; standard slice estimate
butter,Butter,makhan,fat,1,teaspoon,36,0.0,4.1,0.0,0.0,0.0,2,0,25,3,30,USDA FoodData Central
buttermilk,Buttermilk,chaas|mattha,dairy,200,ml,40,2.0,1.0,4.0,0.0,0.1,80,1,20,100,100,IFCT 2017
cabbage_matar,Cabbage Matar,cabbage peas|patta gobhi matar,vegetable,1,serving,120,4.0,4.0,16.0,5.0,1.5,50,30,250,350,300,IFCT 2017; recipe estimate
chana,Chana,chole|chickpeas curry,pulse,1,serving,180,8.0,6.0,25.0,7.0,2.5,50,4,30,300,350,IFCT 2017; recipe estimate
chana_dal,Chana Dal,split chickpea dal,pulse,1,serving,170,8.0,4.0,25.0,6.0,2.5,45,4,30,300,350,IFCT 2017; recipe estimate
chicken_biryani,Chicken Biryani,biryani,mixed meal,1,serving,350,20.0,16.0,40.0,2.0,2.0,50,5,80,400,600,USDA FoodData Central; recipe estimate
chicken_curry,Chicken Curry,chicken curry,animal protein,1,serving,250,22.0,15.0,8.0,1.0,1.5,30,2,20,350,450,USDA FoodData Central; recipe estimate
coconut_chutney,Coconut Chutney,nariyal chutney,condiment,1,serving,80,1.5,7.0,4.0,2.0,1.0,10,0,0,100,100,IFCT 2017; recipe estimate
coffee,Coffee,coffee powder|black coffee,beverage,200,ml,2,0.3,0.0,0.0,0.0,0.0,5,0,0,90,5,USDA FoodData Central; without milk/sugar
cornflakes,Cornflakes,corn flakes,cereal,1,serving,110,2.0,0.3,24.0,1.0,2.0,5,0,0,30,200,USDA FoodData Central
curd,Curd,dahi|yogurt,dairy,1,bowl,60,3.5,3.0,4.5,0.0,0.1,120,1,30,150,50,IFCT 2017
